state,earthquake,volcano,bomb
Alabama,2,1,1 
Alaska,10,10,7 
Arizona,3,1,3 
Arkansas,2,1,1 
California,10,9,8 
Colorado,3,1,3 
Connecticut,1,1,1 
Delaware,1,1,1 
Florida,1,1,1 
Georgia,1,1,1 
Hawaii,9,10,6 
Idaho,3,5,4 
Illinois,1,1,2 
Indiana,1,1,2 
Iowa,1,1,1 
Kansas,1,1,2 
Kentucky,2,1,1 
Louisiana,1,1,1 
Maine,1,1,1 
Maryland,1,1,1 
Massachusetts,1,1,1 
Michigan,1,1,1 
Minnesota,1,1,1 
Mississippi,2,1,1 
Missouri,2,1,2 
Montana,3,5,3 
Nebraska,1,1,2 
Nevada,3,5,6 
NewHampshire,1,1,1 
NewJersey,1,1,1 
NewMexico,3,3,3 
NewYork,1,1,2 
NorthCarolina,1,1,1 
NorthDakota,1,1,1 
Ohio,1,1,2 
Oklahoma,2,1,2 
Oregon,5,8,5 
Pennsylvania,1,1,2 
RhodeIsland,1,1,1 
SouthCarolina,2,1,1 
SouthDakota,1,1,1 
Tennessee,2,1,2 
Texas,3,1,3 
Utah,4,5,5 
Vermont,1,1,1 
Virginia,1,1,1 
Washington,5,8,6 
WestVirginia,1,1,1 
Wisconsin,1,1,1 
Wyoming,3,5,3 
